ClientType,Cts,DimIp,DimIsp,DimCdndomain,DimCdnip,DimCoderatebps,DimHeartType,DimIsInBackground,DimLine,DimNetworktype,DimPlatform,DimStream,DimStreamUrl,DimVersion,FieldVideoBadQuality,InsertTs,LogTime,Systs,Minute,Innerreporttime,Innerfilepath,Day,Hour
web_video_bad_quality_ratio,1764727417,118.238.208.200,Sony Network Communications Inc.,qn.flv.huya.com,,8000000,1,,19,,webh5,1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus,https://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?wssecret=5b08f6fd77fc8a85795cb201f69ab993&wstime=692f994c&seqid=2964382788396&ctype=huya_webh5&ver=1&fs=gctex&dmod=mseh-0&sdkpcdn=1_1&u=1198588470353&t=100&sv=2511190158&sdk_sid=1764723675370&a_block=0,2511201047,,1764727419262,1764727417,1764727418,00,1764727420122092379,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727390,109.252.147.216,PJSC Moscow City Telephone Network,qn.flv.huya.com,114.230.94.175,4000000,,,19,wifi,ios,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?uid=1599141004&uuid=1599141004&wssecret=f5ab01b89151ec61f49d931e176769d6&wstime=692f9b76&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_ios&fs=bgct&ratio=4000&streamtype=0&t=3&hxtype=0&sdkpcdn=1_1,13.0.60,,1764727409590,1764727390,1764727409,00,1764727409992722801,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727390,68.39.63.90,Comcast Cable Communications LLC,qn.flv.huya.com,114.230.92.152,4000000,1,,19,wifi,ios,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?uid=1199517477497&uuid=1199517477497&wssecret=b2d9dbf696d0200ee6ff53c86df93525&wstime=692f9932&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_ios&fs=gctex&ratio=4000&streamtype=0&t=3&hxtype=0&sdkpcdn=1_1,13.0.60,,1764727409590,1764727390,1764727409,00,1764727409992722801,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727404,223.221.110.225,chinatelecom.com.cn,qn.flv.huya.com,61.160.237.170,8000000,1,,19,0,pc_exe,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?wssecret=b760a63f10e483415f4558b7dfc45a80&wstime=692f8ebf&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_pc_exe&fs=gctex&uid=1199642400640&t=0&hxtype=0&sdkpcdn=1_1,7040103,0,1764727412598,1764727404,1764727411,00,1764727413130610621,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727401,106.226.189.190,chinatelecom.com.cn,[2409:8728:46e0:20::49]:23657,2409:8728:46e0:20::49,2000000,1,,19,wifi,adr,,http://[2409:8728:46e0:20::49]:23657/huyacdn/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus_sxrxc_cxdexxtpl_huyaxsrcx_null_2000.flv?connectid=mfuhtbbvp438kx0y&ctype=huya_adr&domain=qn.flv.huya.com&fs=gctex&hxtype=0&ratio=2000&sdkpcdn=1_1&seqid=2944340070&streamtype=0&t=2&u=1471089577308&uid=1470430954893&uuid=1470430954893&ver=1&wssecret=738458da965d29505c06f7ea43adc78e&wstime=692f99cd,13.0.52,,1764727419109,1764727401,1764727418,00,1764727419211051511,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727409,120.228.113.110,chinamobile.com,36.158.249.250:23912,36.158.249.250,8000000,1,,19,wifi,adr,,http://36.158.249.250:23912/huyacdn/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus_sxrxc.flv?connectid=duqwmzhtbjvwkx0y&ctype=huya_hysdk-adr&domain=qn.flv.huya.com&fs=gctex&hxtype=0&sdkpcdn=1_1&seqid=3470201005&streamtype=0&t=2&u=4181043547&uid=1543058857&uuid=1543058857&ver=1&wssecret=d7cf1dd3c58ab54215bf1402d739f096&wstime=692f9a58,12.6.62,,1764727419109,1764727409,1764727418,00,1764727419211051511,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727411,14.144.160.32,chinatelecom.com.cn,221.7.192.66:23211,221.7.192.66,4000000,1,0,19,wifi,ipad,,http://221.7.192.66:23211/huyacdn/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus_sxrxc_cxdexxtpl_huyaxsrcx_264_4000.flv?codec=264&connectid=k2ka1ebdiggokx0y&ctype=huya_ipad&domain=qn.flv.huya.com&fs=bgct&hxtype=0&ratio=4000&seqid=1906392136&t=3&uid=1199533654237&uuid=1199533654237&wssecret=726f24b5681564bb53874503f8360d33&wstime=6930e317,5.1.4,0,1764727420369,1764727411,1764727419,00,1764727421128589883,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727410,68.39.63.90,Comcast Cable Communications LLC,qn.flv.huya.com,114.230.92.152,4000000,1,,19,wifi,ios,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?uid=1199517477497&uuid=1199517477497&wssecret=b2d9dbf696d0200ee6ff53c86df93525&wstime=692f9932&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_ios&fs=gctex&ratio=4000&streamtype=0&t=3&hxtype=0&sdkpcdn=1_1,13.0.60,,1764727429350,1764727410,1764727429,00,1764727430217268589,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727396,27.38.191.9,chinaunicom.com,qn.flv.huya.com,163.142.153.206,8000000,1,1,19,wifi,adr,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?uid=1199538009899&uuid=1199538009899&wssecret=83dbdd4795f5327292cb35a5a778f11c&wstime=692f9947&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_hysdk-adr&fs=gctex&streamtype=0&t=2&hxtype=0&sdkpcdn=1_1,13.0.71,,1764727413098,1764727396,1764727412,00,1764727413500945527,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727424,223.221.110.225,chinatelecom.com.cn,qn.flv.huya.com,61.160.237.170,8000000,1,,19,0,pc_exe,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?wssecret=b760a63f10e483415f4558b7dfc45a80&wstime=692f8ebf&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_pc_exe&fs=gctex&uid=1199642400640&t=0&hxtype=0&sdkpcdn=1_1,7040103,0,1764727431567,1764727424,1764727431,00,1764727432130459478,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727421,106.226.189.190,chinatelecom.com.cn,[2409:8728:46e0:20::49]:23657,2409:8728:46e0:20::49,2000000,1,,19,wifi,adr,,http://[2409:8728:46e0:20::49]:23657/huyacdn/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus_sxrxc_cxdexxtpl_huyaxsrcx_null_2000.flv?connectid=mfuhtbbvp438kx0y&ctype=huya_adr&domain=qn.flv.huya.com&fs=gctex&hxtype=0&ratio=2000&sdkpcdn=1_1&seqid=2944340070&streamtype=0&t=2&u=1471089577308&uid=1470430954893&uuid=1470430954893&ver=1&wssecret=738458da965d29505c06f7ea43adc78e&wstime=692f99cd,13.0.52,100,1764727438614,1764727421,1764727437,00,1764727438992402979,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727429,120.228.113.110,chinamobile.com,36.158.249.250:23912,36.158.249.250,8000000,1,,19,wifi,adr,,http://36.158.249.250:23912/huyacdn/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus_sxrxc.flv?connectid=duqwmzhtbjvwkx0y&ctype=huya_hysdk-adr&domain=qn.flv.huya.com&fs=gctex&hxtype=0&sdkpcdn=1_1&seqid=3470201005&streamtype=0&t=2&u=4181043547&uid=1543058857&uuid=1543058857&ver=1&wssecret=d7cf1dd3c58ab54215bf1402d739f096&wstime=692f9a58,12.6.62,,1764727438614,1764727429,1764727438,00,1764727438992402979,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727432,171.114.6.226,chinatelecom.com.cn,http://qn.flv.huya.com,61.160.237.170,4000000,1,,19,0,pc_exe,1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?wssecret=f1fdaf15b4279b1a5e32ace3e9a38b90&wstime=692f9ad9&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_commserver&fs=gct&ratio=4000&codec=264,3020006,0,1764727434152,1764727432,1764727433,00,1764727434213158345,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727423,45.88.182.4,ACloud SIA,qn.flv.huya.com,121.29.19.56,4000000,1,,19,wifi,ios,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?uid=1199644375883&uuid=1199644375883&wssecret=42d2fbfefbc04af6c4afd60bfde740cc&wstime=692f98b4&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_hysdk-ios&fs=gctex&ratio=4000&streamtype=0&t=3&hxtype=0&startpts=3124050&sdkpcdn=1_1,13.0.60,,1764727430574,1764727423,1764727429,00,1764727431127836808,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727431,14.144.160.32,chinatelecom.com.cn,221.7.192.66:23211,221.7.192.66,4000000,1,0,19,wifi,ipad,,http://221.7.192.66:23211/huyacdn/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus_sxrxc_cxdexxtpl_huyaxsrcx_264_4000.flv?codec=264&connectid=k2ka1ebdiggokx0y&ctype=huya_ipad&domain=qn.flv.huya.com&fs=bgct&hxtype=0&ratio=4000&seqid=1906392136&t=3&uid=1199533654237&uuid=1199533654237&wssecret=726f24b5681564bb53874503f8360d33&wstime=6930e317,5.1.4,0,1764727439105,1764727431,1764727438,00,1764727439500167842,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727423,112.10.221.184,chinamobile.com,http://qn.flv.huya.com,117.149.247.214,8000000,1,,19,0,pc_exe,1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?wssecret=328fea75e133314e8546f9a982170345&wstime=692f97fe&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_commserver&fs=gctex,3020006,0,1764727423278,1764727423,1764727423,00,1764727424130885707,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727425,171.213.250.225,chinatelecom.com.cn,qn.flv.huya.com,103.220.65.233,4000000,1,,19,wifi,ios,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?uid=1622265344&uuid=1622265344&wssecret=5bc787e3b924f0362d095a0208fbcdf1&wstime=692f9abe&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_ios&fs=bgct&codec=264&ratio=4000&t=3&hxtype=0,8.3.0,0,1764727437143,1764727425,1764727437,00,1764727437502586001,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727410,109.252.147.216,PJSC Moscow City Telephone Network,qn.flv.huya.com,114.230.94.175,4000000,1,,19,wifi,ios,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?uid=1599141004&uuid=1599141004&wssecret=f5ab01b89151ec61f49d931e176769d6&wstime=692f9b76&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_ios&fs=bgct&ratio=4000&streamtype=0&t=3&hxtype=0&sdkpcdn=1_1,13.0.60,,1764727429098,1764727410,1764727428,00,1764727429135434643,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727430,109.252.147.216,PJSC Moscow City Telephone Network,qn.flv.huya.com,114.230.94.175,4000000,1,,19,wifi,ios,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?uid=1599141004&uuid=1599141004&wssecret=f5ab01b89151ec61f49d931e176769d6&wstime=692f9b76&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_ios&fs=bgct&ratio=4000&streamtype=0&t=3&hxtype=0&sdkpcdn=1_1,13.0.60,,1764727449216,1764727430,1764727448,00,1764727449503868604,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727438,109.252.147.216,PJSC Moscow City Telephone Network,qn.flv.huya.com,114.230.94.175,4000000,2,,19,wifi,ios,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?uid=1599141004&uuid=1599141004&wssecret=f5ab01b89151ec61f49d931e176769d6&wstime=692f9b76&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_ios&fs=bgct&ratio=4000&streamtype=0&t=3&hxtype=0&sdkpcdn=1_1,13.0.60,,1764727449216,1764727438,1764727448,00,1764727449503868604,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727430,68.39.63.90,Comcast Cable Communications LLC,qn.flv.huya.com,114.230.92.152,4000000,1,,19,wifi,ios,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?uid=1199517477497&uuid=1199517477497&wssecret=b2d9dbf696d0200ee6ff53c86df93525&wstime=692f9932&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_ios&fs=gctex&ratio=4000&streamtype=0&t=3&hxtype=0&sdkpcdn=1_1,13.0.60,,1764727448811,1764727430,1764727448,00,1764727448986275353,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
sdk_video_bad_quality_ratio,1764727443,45.88.182.4,ACloud SIA,qn.flv.huya.com,121.29.19.56,4000000,1,,19,wifi,ios,,http://qn.flv.huya.com/src/1724691-1724691-7407491440705536-3572838-10057-a-0-1-imgplus.flv?uid=1199644375883&uuid=1199644375883&wssecret=42d2fbfefbc04af6c4afd60bfde740cc&wstime=692f98b4&fm=rfdxoejjsjnonkrkddzuwv8kmf8kmv8kml8kmw%3d%3d&ctype=huya_hysdk-ios&fs=gctex&ratio=4000&streamtype=0&t=3&hxtype=0&startpts=3124050&sdkpcdn=1_1,13.0.60,,1764727450382,1764727443,1764727450,00,1764727451204928768,s3a://miku-stats/log/miku/366/huyabiz_quality_report_log/huyabiz_quality_report_log/day=20251203/hour=10/2273fa39-32d8-4fc7-a4e2-afab3f24ec7d.zstd.parquet,20251203,10
